Line,Turnout,variable,Date,value,DateTime,Remarks,ML_max,ML_min,SL_max,SL_min,status,Lat,Long,Passed,ML exceeds,SL exceeds,No value
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2020-11-04,39.0,2020-11-04 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2020-08-04,39.0,2020-08-04 00:00:00,Before,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Check Rail Flangeway_RH,2022-01-27,38.0,2022-01-27 00:00:01,After,41.0,38.0,43.0,36.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2023-10-10,1432.0,2023-10-10 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2023-07-09,1433.0,2023-07-09 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2023-04-04,1433.0,2023-04-04 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2023-01-26,1435.0,2023-01-26 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2022-10-12,1435.0,2022-10-12 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2022-07-26,1434.0,2022-07-26 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2022-04-19,1431.0,2022-04-19 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
